,district,return_item,total_returns,0-30,30-75,75-150,150-500,500-inf,state,state_fips
12712,10,Income Tax Ret.,213153,61780,83628,49682,16473,1424,GA,13
12713,10,Income Tax Amt.,1996866776,47465140,303570890,552456471,614744455,478410097,GA,13
12714,10,Total Tax Ret.,210329,66442,75789,49476,16478,1424,GA,13
12715,10,Total Tax Amt.,2021938454,67765732,283973018,537708919,633826510,497046647,GA,13
12716,10,Withholding Ret.,257429,109065,81749,48408,15762,1275,GA,13
12717,10,Withholding Amt.,1719441209,117037511,373375648,549631555,483253421,193142676,GA,13
12718,10,Alt. Min. Ret.,5391,0,60,447,4319,540,GA,13
12719,10,Alt. Min. Tax Amt.,26094933,0,68799,1123712,17069616,7536016,GA,13
12720,10,Est. Tax Pay. Ret.,13868,1453,3226,4443,3712,874,GA,13
12721,10,Est. Tax Pay. Amt.,368424224,3418642,13616391,35829335,99062388,213245614,GA,13
12722,10,EITC Ret.,71474,57764,13330,0,0,0,GA,13
12723,10,EITC Amt.,193896213,171441926,21963763,0,0,0,GA,13
12724,10,Total Payments Ret.,277854,124667,84129,49360,16324,1413,GA,13
12725,10,Total Payments Amt.,2480506328,356592070,434235673,594710843,600097125,479896290,GA,13
12726,10,Refund Ret.,228067,116935,67945,32961,7771,670,GA,13
12727,10,Refund Amt.,-713359261,-297266224,-182125492,-112364323,-55512550,-59145833,GA,13
12728,10,Balance Due Ret.,55832,11552,17600,16789,8686,747,GA,13
12729,10,Balance Due Amt.,265191831,9748892,32251499,55688945,89872735,76893714,GA,13
12730,10,Med./Dent. Exp. Ret.,24738,6495,11091,5690,499,0,GA,13
12731,10,Med./Dent. Exp. Amt.,197077926,49308958,81819209,47554830,5200237,0,GA,13
12732,10,State and Loc. Tax Ret.,100281,11592,34304,36515,15518,1392,GA,13
12733,10,State and Loc. Tax Amt.,526049691,10354423,76507156,174386881,166469540,94166212,GA,13
12734,10,Real Estate Tax Ret.,86118,7082,27637,34359,14957,1335,GA,13
12735,10,Real Estate Tax Amt.,247983307,13659947,56008618,94067758,66514357,14326410,GA,13
12736,10,Taxes Paid Ret.,99957,11392,34240,36503,15514,1392,GA,13
12737,10,Taxes Paid Amt.,815860103,27095871,144506961,285043720,241403082,109924243,GA,13
12738,10,Interest Paid Ret.,76253,5780,24886,31305,12796,904,GA,13
12739,10,Interest Paid Amt.,556529537,32584775,144470158,227928160,130780830,15290325,GA,13
12740,10,Total Interest Paid Ret.,78624,6077,25715,31935,13216,1047,GA,13
12741,10,Total Interest Paid Amt.,607181527,36062146,160230426,241475693,139336692,23612241,GA,13
12742,10,Contribution Ret.,85343,8371,28496,32679,14443,1344,GA,13
12743,10,Contribution Amt.,570352427,23444894,105528194,158183618,131888894,151282758,GA,13
12744,10,Prem. Tax Credit Ret.,12446,8820,2942,127,0,0,GA,13
12745,10,Prem. Tax Credit Ret.,41936914,29053813,9807474,246371,0,0,GA,13
12746,10,Adv. Prem. Tax Credit Ret.,13826,8994,3686,509,76,0,GA,13
12747,10,Adv. Prem. Tax Credit Amt.,46927827,29661781,12721092,1563258,256950,0,GA,13
12748,10,F 8888 - Refund Alloc. Ret.,61,13,21,0,0,0,GA,13
12749,10,F 8888 - Refund Alloc. Amt.,33050,7100,6350,0,0,0,GA,13
12750,11,Return Count,344130,133897,97556,64711,32964,5480,GA,13
12751,11,Form 1040EZ,37300,28453,7802,963,0,0,GA,13
12752,11,Form 1040A,52166,29949,18434,3064,0,0,GA,13
12753,11,Form 1040,245743,72140,71000,60515,32866,5447,GA,13
12754,11,Joint Returns,131126,16259,33297,46516,28689,4888,GA,13
12755,11,Single Returns,152770,87220,44789,13244,3098,406,GA,13
12756,11,Paid Preparer Returns,179768,65831,48181,33270,19807,4846,GA,13
12757,11,Returns with Exemptions,312716,110227,97236,64669,31451,0,GA,13
12758,11,Total Exemption Amt.,2621104880,772463950,789556000,662239900,349349130,0,GA,13
12759,11,Wages Ret.,282259,102948,85652,57607,30098,4692,GA,13
12760,11,Wages Amt.,20076274440,1506232686,3954753791,5357516457,5676733989,3509108325,GA,13
12761,11,Taxable Interest Ret.,89001,15629,19522,25318,20198,5051,GA,13
12762,11,Taxable Interest Amt.,231988858,9568323,17340641,26016041,44477998,121377862,GA,13
12763,11,Tax Exempt Interest Ret.,13659,1276,2112,3354,4297,2372,GA,13
12764,11,Tax Exempt Interest Amt.,154785492,5490731,10035291,17973378,38315199,76948458,GA,13
12765,11,Taxable Dividends Ret.,69816,11445,14747,19944,17882,4636,GA,13
12766,11,Taxable Dividend Amt.,800993657,22340355,49031173,94475816,190748189,429869096,GA,13
12767,11,State Refund Ret.,86976,4746,22540,34475,20966,3073,GA,13
12768,11,State Refund Amt.,164559632,3303034,19984669,43106284,44048285,52718130,GA,13
12769,11,Schedule C Prof./Loss Ret.,71349,30195,17355,13059,7571,1482,GA,13
12770,11,Schedule C Prof./Loss Amt.,854135307,157555060,115974562,138005720,230389266,233588461,GA,13
12771,11,Capital Gain/Loss Ret.,64950,10764,11879,16667,16652,4814,GA,13
12772,11,Capital Gain/Loss Amt.,2189913837,18059691,39926372,101958018,306107262,1675689319,GA,13
12773,11,Taxable IRA Dist. Ret.,30353,6341,8487,9285,5146,733,GA,13
12774,11,Taxable IRA Dist. Amt.,630439047,46074332,111945463,205493720,209230886,49476477,GA,13
12775,11,Taxable Pension Ret.,55065,13104,17020,16173,7491,803,GA,13
12776,11,Taxable Pension Amt.,1348473371,122229570,333548499,509540731,329434689,46672883,GA,13
12777,11,Farm Prof./Loss Ret.,1222,192,290,339,234,89,GA,13
12778,11,Farm Prof./Loss Amt.,-16450895,-748745,-2094545,-2831384,-3289930,-4177348,GA,13
12779,11,Unemployment Comp. Ret.,7549,2743,2720,1591,450,0,GA,13
12780,11,Unemployment Comp. Amt.,22646216,8130609,7947396,4864659,1563625,0,GA,13
12781,11,Tax. Soc. Sec. Ret.,38531,6315,14308,12231,4912,746,GA,13
12782,11,Tax. Soc. Sec. Amt.,613801632,17201373,172965936,274254649,127551727,21645488,GA,13
12783,11,Student Interest Ded. Ret.,30527,5772,14055,9821,667,0,GA,13
12784,11,Student Interest Ded. Amt.,33538468,5408698,16287913,11417736,148942,0,GA,13
12785,11,S.E. Health Ded. Ret.,11034,2069,2397,2241,2642,1428,GA,13
12786,11,S.E. Health Ded. Amt.,82839787,6072466,11809601,15796605,27490778,20220512,GA,13
12787,11,Keogh Pay. Ret.,2944,88,261,518,1235,830,GA,13
12788,11,Keogh Pay. Amt.,84746863,437485,2602253,6538139,30904175,44124551,GA,13
12789,11,Alimony Paid Ret.,1263,407,557,214,67,0,GA,13
12790,11,Alimony Paid Amt.,36349847,4218200,11433014,8899007,6279093,0,GA,13
12791,11,Adjustments Ret.,99769,31030,29643,23577,11371,3034,GA,13
12792,11,Adjustments Amt.,442817337,40135104,67230811,79709135,111793028,138440008,GA,13
12793,11,Total Itemized Ded. Ret.,140005,14253,36973,47300,31294,5385,GA,13
12794,11,Total Itemized Ded. Amt.,4323126893,169360713,627347262,1043743627,1170632875,1261961049,GA,13
12795,11,Child Tax Credit Ret.,51029,6285,24661,19549,509,0,GA,13
12796,11,Child Tax Credit Amt.,62187665,2696296,30078260,28986744,408921,0,GA,13
12797,11,Child Care Cred. Ret.,18397,2012,6076,6387,3604,0,GA,13
12798,11,Child Care Cred. Amt.,9506885,852092,3204095,3362390,1892887,0,GA,13
12799,11,Ed Credit Ret.,25057,7474,9554,6619,1319,0,GA,13
12800,11,Ed. Credit Amt.,27861811,5066356,11663224,9591742,1504048,0,GA,13
12801,11,For. Tax Credit Ret.,19461,824,3181,5170,6793,3151,GA,13
12802,11,For. Tax Credit Amt.,31221726,50447,372546,1247555,4968266,24568743,GA,13
12803,11,Gen. Bus. Cred. Ret.,1306,21,101,185,361,628,GA,13
12804,11,Gen. Bus. Cred. Amt.,11980898,9801,190540,484257,1893990,9360373,GA,13
12805,11,Total Stat. Credit Ret.,108734,22626,39730,30014,12709,3617,GA,13
12806,11,Total Stat. Credit Amt.,153254984,10102713,48007839,45953702,12855339,36152151,GA,13
12807,11,S.E. Tax  Ret.,51077,22720,10700,8783,6193,2079,GA,13
12808,11,S.E. Tax  Amt.,164696760,32586894,27213492,27126757,36840348,39040475,GA,13
12809,11,Add. Tax Retir. Plan,14226,2282,4699,4535,2434,204,GA,13
12810,11,Tax Retir. Plan Amt.,17120858,810028,3174331,5784517,6261289,926612,GA,13
12811,11,Hlth. 12 mnth. Cvg. Count,260413,76038,82953,61017,31985,5331,GA,13
12812,11,Hlth. Shrd. Resp. Pay. Ret.,15190,7193,6566,1183,224,14,GA,13
12813,11,Hlth. Shrd. Resp. Pay. Amt.,7481441,2147824,3402299,1336449,493282,68310,GA,13
12814,11,Income Tax Ret.,261818,63709,95199,64398,32920,5479,GA,13
12815,11,Income Tax Amt.,4794613396,52021802,387371540,783310399,1347480247,2223833754,GA,13
12816,11,Total Tax Ret.,263486,71810,88209,64214,32930,5480,GA,13
12817,11,Total Tax Amt.,4933397338,77949419,374157129,772667616,1393790005,2311950581,GA,13
12818,11,Withholding Ret.,293586,102079,91806,62383,31311,4764,GA,13
12819,11,Withholding Amt.,3580084252,113825881,457386284,784174269,1117521631,1093504604,GA,13
12820,11,Alt. Min. Ret.,14210,445,145,707,10937,1958,GA,13
12821,11,Alt. Min. Tax Amt.,89340258,78264,316831,1594247,47452033,39331503,GA,13
12822,11,Est. Tax Pay. Ret.,21990,2518,3981,5522,6146,3000,GA,13
12823,11,Est. Tax Pay. Amt.,1168403678,5287319,19493708,51180316,193756351,895188215,GA,13
12824,11,EITC Ret.,56128,44312,11367,0,0,0,GA,13
12825,11,EITC Amt.,138905168,120095865,18224330,0,0,0,GA,13
12826,11,Total Payments Ret.,323368,121130,95208,63930,32683,5449,GA,13
12827,11,Total Payments Amt.,5437835825,301551993,525617147,853318345,1362119153,2368855040,GA,13
12828,11,Refund Ret.,253447,110550,75732,42900,16651,2830,GA,13
12829,11,Refund Amt.,-1019179118,-237675179,-193707829,-152595842,-128422393,-282231379,GA,13
12830,11,Balance Due Ret.,78578,16333,21373,21641,16190,2619,GA,13
12831,11,Balance Due Amt.,520702943,14986919,42966360,74947157,161326392,225417957,GA,13
12832,11,Med./Dent. Exp. Ret.,23778,5871,9717,6015,1274,0,GA,13
12833,11,Med./Dent. Exp. Amt.,225373635,50680875,80056138,61977469,21717713,0,GA,13
12834,11,State and Loc. Tax Ret.,140120,14317,36990,47304,31295,5385,GA,13
12835,11,State and Loc. Tax Amt.,1195994758,11008042,87645703,240332538,376100123,473913845,GA,13
12836,11,Real Estate Tax Ret.,113063,6772,27435,42865,29689,5235,GA,13
12837,11,Real Estate Tax Amt.,421523944,13630412,55734586,112248897,143517553,88383240,GA,13
12838,11,Taxes Paid Ret.,137387,13537,36842,47258,31281,5385,GA,13
12839,11,Taxes Paid Amt.,1674535198,27630183,154827731,371398299,536720584,568253370,GA,13
12840,11,Interest Paid Ret.,102836,5798,25546,39995,26615,4022,GA,13
12841,11,Interest Paid Amt.,895087950,36995797,163229920,305232558,294983023,83671835,GA,13
12842,11,Total Interest Paid Ret.,106061,6041,26250,40817,27409,4597,GA,13
12843,11,Total Interest Paid Amt.,995028911,40452926,180373699,322795213,309032035,128046790,GA,13
12844,11,Contribution Ret.,115019,8848,30059,41666,29085,5246,GA,13
12845,11,Contribution Amt.,1219815101,19183089,97157855,180959054,235781433,686718913,GA,13
12846,11,Prem. Tax Credit Ret.,15266,10494,3963,199,0,0,GA,13
12847,11,Prem. Tax Credit Ret.,53252457,35780052,13834155,448426,0,0,GA,13
12848,11,Adv. Prem. Tax Credit Ret.,17297,10695,5051,775,135,0,GA,13
12849,11,Adv. Prem. Tax Credit Amt.,58052968,35000779,17457626,2320645,399444,0,GA,13
12850,11,F 8888 - Refund Alloc. Ret.,46,0,11,0,0,0,GA,13
12851,11,F 8888 - Refund Alloc. Amt.,33250,0,9200,0,0,0,GA,13
12852,12,Return Count,278701,142372,82077,38902,10869,964,GA,13
12853,12,Form 1040EZ,32671,26618,5515,496,0,0,GA,13
12854,12,Form 1040A,73079,48870,20736,2187,0,0,GA,13
12855,12,Form 1040,172499,66672,55732,35531,10849,963,GA,13
12856,12,Joint Returns,94304,18133,33457,30872,9705,865,GA,13
12857,12,Single Returns,112451,75510,28719,5356,862,73,GA,13
12858,12,Paid Preparer Returns,160338,76755,47597,24866,7820,903,GA,13
12859,12,Returns with Exemptions,261913,127170,81973,38896,10506,0,GA,13
12860,12,Total Exemption Amt.,2277304942,998663950,726072000,416371900,114173092,0,GA,13
12861,12,Wages Ret.,236378,118659,72019,34341,9711,857,GA,13
12862,12,Wages Amt.,9891693228,1753714394,3187704819,3010116729,1558213136,355785177,GA,13
12863,12,Taxable Interest Ret.,54726,12391,16992,16192,7214,903,GA,13
12864,12,Taxable Interest Amt.,84227669,8195062,13071792,17184742,15719803,27222347,GA,13
12865,12,Tax Exempt Interest Ret.,5170,627,1125,1604,1371,351,GA,13
12866,12,Tax Exempt Interest Amt.,36443060,2071601,4460150,9110785,11800771,7475152,GA,13
12867,12,Taxable Dividends Ret.,30783,5908,8454,9729,5418,739,GA,13
12868,12,Taxable Dividend Amt.,170133866,10221800,21640102,38896544,54334388,41111062,GA,13
12869,12,State Refund Ret.,49118,3869,17950,20066,6647,483,GA,13
12870,12,State Refund Amt.,67536669,2642047,16970194,26175930,13752590,7641403,GA,13
12871,12,Schedule C Prof./Loss Ret.,47534,25187,11323,7004,2450,333,GA,13
12872,12,Schedule C Prof./Loss Amt.,318822672,135751619,39110351,50872432,74719338,30876258,GA,13
12873,12,Capital Gain/Loss Ret.,26420,4796,6953,8084,5032,784,GA,13
12874,12,Capital Gain/Loss Amt.,374112747,7291078,22809588,55625833,101570621,175837756,GA,13
12875,12,Taxable IRA Dist. Ret.,17992,4682,5892,5087,1942,169,GA,13
12876,12,Taxable IRA Dist. Amt.,267629292,29693624,64265673,92862386,65634568,11853963,GA,13
12877,12,Taxable Pension Ret.,55049,16437,19854,13994,4144,191,GA,13
12878,12,Taxable Pension Amt.,1355733623,176503926,446409473,492777166,222231728,12145746,GA,13
12879,12,Farm Prof./Loss Ret.,7274,1392,2168,2072,909,118,GA,13
12880,12,Farm Prof./Loss Amt.,-98387751,-11565711,-20504401,-19461265,-13905221,-6065179,GA,13
12881,12,Unemployment Comp. Ret.,9969,5331,3367,1123,128,0,GA,13
12882,12,Unemployment Comp. Amt.,23659600,11533260,8178741,3394754,506024,0,GA,13
12883,12,Tax. Soc. Sec. Ret.,33443,6665,14880,9088,2589,206,GA,13
12884,12,Tax. Soc. Sec. Amt.,434251105,16255725,162336751,185164324,64637956,5791550,GA,13
12885,12,Student Interest Ded. Ret.,19801,4408,9030,5958,274,0,GA,13
12886,12,Student Interest Ded. Amt.,21141437,3928066,9948606,7041877,64879,0,GA,13
12887,12,S.E. Health Ded. Ret.,4519,1003,1138,1001,957,260,GA,13
12888,12,S.E. Health Ded. Amt.,28469176,2983423,5452910,6976019,9230192,3008795,GA,13
12889,12,Keogh Pay. Ret.,582,15,71,134,277,70,GA,13
12890,12,Keogh Pay. Amt.,10635108,44135,566942,1580126,6303823,2066692,GA,13
12891,12,Alimony Paid Ret.,620,273,252,79,0,0,GA,13
12892,12,Alimony Paid Amt.,9694699,2296097,3833668,2526706,0,0,GA,13
12893,12,Adjustments Ret.,66416,27027,20072,13789,4125,615,GA,13
12894,12,Adjustments Amt.,161985152,29923129,39400225,39336943,33114047,17239307,GA,13
12895,12,Total Itemized Ded. Ret.,75001,8695,28073,26713,10021,930,GA,13
12896,12,Total Itemized Ded. Amt.,1763931719,186055444,500457147,577669370,345516028,137745164,GA,13
12897,12,Child Tax Credit Ret.,46920,9801,24420,12514,176,0,GA,13
12898,12,Child Tax Credit Amt.,52618175,4054734,29188523,19217461,154049,0,GA,13
12899,12,Child Care Cred. Ret.,14149,2949,6188,4084,882,0,GA,13
12900,12,Child Care Cred. Amt.,7797430,1298747,3597449,2389966,485101,0,GA,13
12901,12,Ed Credit Ret.,20969,6396,8929,4981,570,0,GA,13
12902,12,Ed. Credit Amt.,21213398,3635730,10073348,6846172,636522,0,GA,13
12903,12,For. Tax Credit Ret.,6424,429,1485,2239,1868,403,GA,13
12904,12,For. Tax Credit Amt.,2619117,13260,103404,335571,1131015,1035867,GA,13
12905,12,Gen. Bus. Cred. Ret.,311,0,44,70,95,95,GA,13
12906,12,Gen. Bus. Cred. Amt.,3840334,0,94312,192382,609358,2939890,GA,13
12907,12,Total Stat. Credit Ret.,86310,26067,37756,18259,3695,523,GA,13
12908,12,Total Stat. Credit Amt.,94664390,10771038,45814610,29964670,3609285,4502184,GA,13
12909,12,S.E. Tax  Ret.,33822,19915,6533,4486,2050,392,GA,13
12910,12,S.E. Tax  Amt.,68293550,27514925,14160909,12452458,10373446,2902749,GA,13
12911,12,Add. Tax Retir. Plan,10321,2592,4089,2825,751,0,GA,13
12912,12,Tax Retir. Plan Amt.,8905943,755027,2597477,3445133,1973824,0,GA,13
12913,12,Hlth. 12 mnth. Cvg. Count,220524,96932,72564,37112,10516,948,GA,13
12914,12,Hlth. Shrd. Resp. Pay. Ret.,13360,7203,5338,706,104,0,GA,13
12915,12,Hlth. Shrd. Resp. Pay. Amt.,6081022,2232360,2759166,842222,222822,0,GA,13
12916,12,Income Tax Ret.,194045,63126,80180,38795,10860,959,GA,13
12917,12,Income Tax Amt.,1453876275,47635290,288634422,438737891,407569886,271259590,GA,13
12918,12,Total Tax Ret.,189671,67385,71200,38646,10858,963,GA,13
12919,12,Total Tax Amt.,1456838428,67940040,263026331,426194411,420148749,278527501,GA,13
12920,12,Withholding Ret.,247252,117845,79249,37962,10379,877,GA,13
12921,12,Withholding Amt.,1371683278,125645445,365751750,442830397,317298953,117151581,GA,13
12922,12,Alt. Min. Ret.,3399,0,70,335,2649,331,GA,13
12923,12,Alt. Min. Tax Amt.,15103971,0,78182,714806,10007062,4248115,GA,13
12924,12,Est. Tax Pay. Ret.,9689,1153,2441,2986,2397,595,GA,13
12925,12,Est. Tax Pay. Amt.,243204798,2787451,10015837,24054002,71604049,133313499,GA,13
12926,12,EITC Ret.,85796,70943,14511,0,0,0,GA,13
12927,12,EITC Amt.,243217995,218512529,24342078,0,0,0,GA,13
12928,12,Total Payments Ret.,267780,134903,80778,38577,10761,953,GA,13
12929,12,Total Payments Amt.,2024185728,426049360,426547916,473461250,400927292,291475916,GA,13
12930,12,Refund Ret.,227888,128023,66651,25984,5121,467,GA,13
12931,12,Refund Amt.,-736684028,-365042173,-189289100,-89768645,-40039495,-47326143,GA,13
12932,12,Balance Due Ret.,44675,10020,15182,12865,5730,489,GA,13
12933,12,Balance Due Amt.,172712781,8051459,26982489,42798906,59633729,34736360,GA,13
12934,12,Med./Dent. Exp. Ret.,18673,4954,9051,3776,308,0,GA,13
12935,12,Med./Dent. Exp. Amt.,229351815,98976554,83381040,33238855,3841433,0,GA,13
12936,12,State and Loc. Tax Ret.,75011,8701,28073,26713,10021,930,GA,13
12937,12,State and Loc. Tax Amt.,364161232,7544724,62955509,129576940,109469638,52565899,GA,13
12938,12,Real Estate Tax Ret.,61579,5174,21302,24373,9430,881,GA,13
12939,12,Real Estate Tax Amt.,143497971,8330012,36264755,54125503,34718367,8549881,GA,13
12940,12,Taxes Paid Ret.,74675,8524,27981,26695,10020,930,GA,13
12941,12,Taxes Paid Amt.,537521837,18183857,108811278,195375761,149544272,61873676,GA,13
12942,12,Interest Paid Ret.,53446,4113,18847,21771,7821,593,GA,13
12943,12,Interest Paid Amt.,332010950,20624470,95857465,136368858,67127649,9250286,GA,13
12944,12,Total Interest Paid Ret.,55220,4366,19486,22210,8125,697,GA,13
12945,12,Total Interest Paid Amt.,363046331,22998256,106190022,144658932,71600317,14245280,GA,13
12946,12,Contribution Ret.,64469,6604,23580,23971,9404,663,GA,13
12947,12,Contribution Amt.,429290404,21423578,103211818,137846649,96195621,27187871,GA,13
12948,12,Prem. Tax Credit Ret.,13687,10115,2974,112,0,0,GA,13
12949,12,Prem. Tax Credit Ret.,48628052,35127323,10523562,293874,0,0,GA,13
12950,12,Adv. Prem. Tax Credit Ret.,15028,10392,3650,427,41,0,GA,13
12951,12,Adv. Prem. Tax Credit Amt.,55092547,36663783,13997477,1604316,147509,0,GA,13
12952,12,F 8888 - Refund Alloc. Ret.,41,0,0,0,0,0,GA,13
12953,12,F 8888 - Refund Alloc. Amt.,15150,0,0,0,0,0,GA,13
12954,13,Return Count,326861,166009,102414,42522,11481,703,GA,13
12955,13,Form 1040EZ,30650,24937,5238,424,0,0,GA,13
12956,13,Form 1040A,64004,43032,18005,2136,0,0,GA,13
12957,13,Form 1040,231732,97830,79057,39915,11459,702,GA,13
12958,13,Joint Returns,83762,16376,28331,27856,9710,602,GA,13
12959,13,Single Returns,141620,88177,40883,8900,1178,63,GA,13
12960,13,Paid Preparer Returns,176478,88648,55342,23027,6862,618,GA,13
12961,13,Returns with Exemptions,310395,150803,102288,42513,11179,0,GA,13
12962,13,Total Exemption Amt.,2629946960,1197776000,872856000,418148000,119782960,0,GA,13
12963,13,Wages Ret.,279341,136368,92299,38437,10677,639,GA,13
12964,13,Wages Amt.,12112292876,2184358390,4238191753,3466900092,1861526519,337328360,GA,13
12965,13,Taxable Interest Ret.,47298,10673,15012,14082,6296,617,GA,13
12966,13,Taxable Interest Amt.,47468227,5665697,10362611,11180269,10515205,8491731,GA,13
12967,13,Tax Exempt Interest Ret.,3613,509,867,1092,881,206,GA,13
12968,13,Tax Exempt Interest Amt.,16064891,1365682,3126245,4714355,3676460,2932295,GA,13
12969,13,Taxable Dividends Ret.,29724,5520,8795,9483,4998,520,GA,13
12970,13,Taxable Dividend Amt.,97750221,7536842,16909027,25550579,28578322,18257808,GA,13
12971,13,State Refund Ret.,72147,7680,31410,24724,7788,369,GA,13
12972,13,State Refund Amt.,89905647,5445188,30757901,32941540,15340501,5076803,GA,13
12973,13,Schedule C Prof./Loss Ret.,83774,49066,21411,9007,2614,160,GA,13
12974,13,Schedule C Prof./Loss Amt.,156755425,108198473,-40275170,29243554,50590010,30026835,GA,13
12975,13,Capital Gain/Loss Ret.,23013,4031,6357,7122,4404,550,GA,13
12976,13,Capital Gain/Loss Amt.,233973735,3225518,11831536,29804051,61647296,126410629,GA,13
12977,13,Taxable IRA Dist. Ret.,18792,5206,6685,5093,1565,69,GA,13
12978,13,Taxable IRA Dist. Amt.,274582277,34550237,75569480,100326167,58620049,2581201,GA,13
12979,13,Taxable Pension Ret.,56632,17362,21319,14012,3445,120,GA,13
12980,13,Taxable Pension Amt.,1279986436,172640730,442113427,476760606,178276872,5664160,GA,13
12981,13,Farm Prof./Loss Ret.,470,76,119,160,67,0,GA,13
12982,13,Farm Prof./Loss Amt.,-5269818,-682029,-1153954,-1308175,-993810,0,GA,13
12983,13,Unemployment Comp. Ret.,10018,5218,3220,1313,226,0,GA,13
12984,13,Unemployment Comp. Amt.,29583478,15068878,9454582,4130523,784309,0,GA,13
12985,13,Tax. Soc. Sec. Ret.,29913,6511,13295,8224,1747,110,GA,13
12986,13,Tax. Soc. Sec. Amt.,374959501,17542106,146878596,166166716,41129039,2981431,GA,13
12987,13,Student Interest Ded. Ret.,27832,6858,13758,6636,383,0,GA,13
12988,13,Student Interest Ded. Amt.,30754658,6731275,15601479,8082789,88179,0,GA,13
12989,13,S.E. Health Ded. Ret.,3653,1172,908,693,582,173,GA,13
12990,13,S.E. Health Ded. Amt.,19459196,2684883,4061007,4271518,5583267,2364284,GA,13
12991,13,Keogh Pay. Ret.,560,39,94,128,225,57,GA,13
12992,13,Keogh Pay. Amt.,10314298,174285,646508,1497833,5021008,2917573,GA,13
12993,13,Alimony Paid Ret.,453,199,177,58,0,0,GA,13
12994,13,Alimony Paid Amt.,7568887,1864128,2705979,1808886,0,0,GA,13
12995,13,Adjustments Ret.,86818,41081,27236,13816,3553,364,GA,13
12996,13,Adjustments Amt.,174744480,46266347,50048604,34941494,23810656,17232137,GA,13
12997,13,Total Itemized Ded. Ret.,109649,16411,48521,32559,10809,678,GA,13
12998,13,Total Itemized Ded. Amt.,2383718096,246541341,864555216,764101953,377327285,118047745,GA,13
12999,13,Child Tax Credit Ret.,51862,11355,29077,11262,156,0,GA,13
13000,13,Child Tax Credit Amt.,53723857,4565121,32913062,16093765,147500,0,GA,13
13001,13,Child Care Cred. Ret.,20140,4438,9500,4638,1502,0,GA,13
13002,13,Child Care Cred. Amt.,11404390,1935578,5782252,2782666,863293,0,GA,13
13003,13,Ed Credit Ret.,30306,11259,13529,4976,531,0,GA,13
13004,13,Ed. Credit Amt.,31697132,7031096,16747609,7301844,612790,0,GA,13
13005,13,For. Tax Credit Ret.,5151,318,1260,1782,1488,303,GA,13
13006,13,For. Tax Credit Amt.,3022374,13565,118668,385585,1557290,947266,GA,13
13007,13,Gen. Bus. Cred. Ret.,370,32,96,82,83,59,GA,13
13008,13,Gen. Bus. Cred. Amt.,2128598,37672,203662,237114,523212,1121742,GA,13
13009,13,Total Stat. Credit Ret.,103100,34262,47008,17515,3900,390,GA,13
13010,13,Total Stat. Credit Amt.,110321791,15607720,59292349,28367538,4516046,2529451,GA,13
13011,13,S.E. Tax  Ret.,43949,30227,7316,4205,1664,222,GA,13
13012,13,S.E. Tax  Amt.,84034972,43555247,16301193,11529283,8548672,3492246,GA,13
13013,13,Add. Tax Retir. Plan,15767,4176,6616,3860,1031,28,GA,13
13014,13,Tax Retir. Plan Amt.,13665908,1349726,4415844,4829376,2905659,77942,GA,13
13015,13,Hlth. 12 mnth. Cvg. Count,257713,113299,89954,40143,11076,682,GA,13
13016,13,Hlth. Shrd. Resp. Pay. Ret.,15319,8579,5794,805,128,0,GA,13
13017,13,Hlth. Shrd. Resp. Pay. Amt.,6944886,2662166,3030740,937161,291513,0,GA,13
13018,13,Income Tax Ret.,227987,73390,99815,42445,11473,703,GA,13
13019,13,Income Tax Amt.,1547624699,54287805,357613463,489397667,417989855,228281169,GA,13
13020,13,Total Tax Ret.,224529,81938,87645,42243,11469,703,GA,13
13021,13,Total Tax Amt.,1554538181,87024125,323457559,479048459,428293634,235933790,GA,13
13022,13,Withholding Ret.,284515,131354,98503,41790,11158,651,GA,13
13023,13,Withholding Amt.,1559544146,142402828,450219447,507352494,357455820,99392450,GA,13
13024,13,Alt. Min. Ret.,3764,0,74,629,2817,225,GA,13
13025,13,Alt. Min. Tax Amt.,13007387,0,87500,1061456,9647070,2163807,GA,13
13026,13,Est. Tax Pay. Ret.,6663,992,1803,2017,1413,356,GA,13
13027,13,Est. Tax Pay. Amt.,153859113,2119706,7659272,15670651,37923476,90045788,GA,13
13028,13,EITC Ret.,104554,86588,17593,0,0,0,GA,13
13029,13,EITC Amt.,303689773,275105884,28169724,0,0,0,GA,13
13030,13,Total Payments Ret.,314510,157333,100822,42155,11384,697,GA,13
13031,13,Total Payments Amt.,2222727706,532602929,524067748,529834490,405710721,225677138,GA,13
13032,13,Refund Ret.,267173,147885,83030,28354,5605,310,GA,13
13033,13,Refund Amt.,-851142865,-455982136,-236874139,-98336728,-33029610,-22553736,GA,13
13034,13,Balance Due Ret.,53398,13518,19195,14116,5844,387,GA,13
13035,13,Balance Due Amt.,186541196,12118635,36976698,47968459,55982228,33159683,GA,13
13036,13,Med./Dent. Exp. Ret.,24692,7323,12406,4072,421,0,GA,13
13037,13,Med./Dent. Exp. Amt.,185886496,59019742,81891773,34749170,5650375,0,GA,13
13038,13,State and Loc. Tax Ret.,109682,16431,48526,32560,10809,678,GA,13
13039,13,State and Loc. Tax Amt.,449507232,17824892,112204245,158149402,115846789,44525448,GA,13
13040,13,Real Estate Tax Ret.,84578,9011,34752,29409,10262,647,GA,13
